"","V1","V2","V3","V4","V5","V6","V7","V8"
"3","aged like milk httpstcorlypt8wgnd","auba did so well too i really admire his work rate he works hard to cover all his basic football stuff so even when he is not necessarily scoring he is still helping the squad he did this so well in arsenal when he was out of form","thank you httpstcokekxlanbfc","a big ef u to dortmund for ruining my week when it barely even started yet","this no reinforcement whatsoever when we are already running thin a defender would have been nice to at least have some option im no football expert but even i can see how much we needed to sign someone httpstcoail12fnzjc","oh please i cannot do this dortmund just got battered to smithereens i dont need this","me throughout the whole match httpstcookmuqztcmv httpstcoykglxeryhx",""
"9","have you staked your vinu yet we have 306090 day pools on @digifinex we have 14 day pool on @vivastakingpool the 90 day pool on digifinex is almost fully claimed #memecoin #staking #vitainu #vinusquad #shib #doge #bscgem","the winners of the vinu #giveaway have been rewarded the #vinu team will be discussing your suggestions and decide on the most suitable name for our #designer brand in the meantime dont forget to check out the vinu #merch store on @redbubble","","","","","",""
"12","mediocre conservatives incels trying with all their might to pin this on trudeau","this is what @gregmcleanyyc described as a beautiful winter carnival","and the conservatives already have their memes made to call him an authoritarian if he does","never go with the algorithm always latest tweets","","","",""
"13","i dont think we should be asking them to go home so we need to turn this into justin trudeaus problem per candice bergen email","due diligence is underrated","saw one company tweet out its brave refusal","on the subject of towing companies performatively refusing to tow do they have a contract with the city of ottawa do they want one with any municipality in the future","noting that this guy is an immigrant after all were seeing amp hearing from this mob","","",""
"25","happy birthday","i need this","amen to that","its fucking horrible as if things arent bad enough we were only split a few months and i hadnt been out felt like punching them","if it hadnt been a surprise those arses wouldnt have been there","yep looking for the fill of their mouths","absolutely i wasnt long separated from my husband and had a few aul biddys asking where he was and the fuckers knew well just wanted me to say it i just said the babysitter let us down the cts","it ended up being a great night my birthday is christmas week so i never do anything for it they had the party a month before so i had no clue i walked in and a band started playing everyone started coming up to me i wanted to run away did enjoy it after the shock"
"26","thanks for listening to #mostrequestedlive with @onairromeo requests have been counted heres the top 5 #5 @jenarosemusic #checkmate #4 @avrillavigne amp @iamblackbear #loveitwhenyouhateme #3 @alesso amp @katyperry #whenimgone #2 #lisa @blackpink #money #1 @anitta #boysdontcry","same","us imagining #lisa watching reaction videos to #money when it came out","listen to @bennettonairs #mostrequestedlive interview with #lisa from @blackpink if you missed it last night #blinks #lalisa #money","our pleasure","huge thanks to #lisa from @blackpink amp @jenarosemusic for being part of the show tonight its all here if ya missed it #blinks #jra","another world famous twittamix is comin atcha with dj @jaymacradio amp @onairromeo tweet your request for this mix now","theres still time to make your request count on #mostrequestedlive whats it gonna be"
"27","#mostrequestedlive with @onairromeo is airing live on a radio station near you find yours and listen tonight like @xtreme1071 in dubuque ia listen","","","","","","",""
"32","a nuh kfc one a have chicken shortage btw @quickchickja while the server was being rude about my leaking drink yesterday she nuh give me the dinner roll i paid for","now the noise and car alarms going off early this morning makes sense","basically the rich telling us that covid should be treated like the common cold and if youre a casualty oh well thats just life","tell unuh bout that personal choice foolishness already now the carefree careless and rich minority will sing it to support their ridiculous stance","this response sounds like out of many one people only the rich should survive","","",""
"39","200 ends in 24 hours rt and follow me notifs on","raving crabs original 3d animated nfts enter the club rave at our exclusive music festival free pixel crab mint amp giveaways 006 for earlyadopters only 17th november 2021 discord twitter","chunky bunnies nft project launching september 19th 6000 generative bunnies on the ethereum blockchain join their discord #nft #nfts","mint is live jan 18 1am utc jan 17 8pm est price 008 eth 9999nfts 80k giveaway among holders first 750 holders will get animated hunters3d nft netflix animated series dao go catch your bunny mint #nft #nfts","new apostle #9 #nft drop limited time special christmas discount st philip the missionary #9 of 12 apostle #nfts minted on christmas eve in rome italy @opensea buy here or offer sos dm for private sale #nft #nfts","cheeky chimps nft project our goal is to build a communitybased nft project with a longterm roadmap for achieving longevity to get involved join the official discord server #nfts #nftart #nftcommunity","ok ready to go can we do a post that says dont miss out on grand goose mansion next big project get in their discord and look out for wl giveaways they are going to explode #nfts #nftgiveaway #nftgame #nftartist #nftartist #nftdrop #nftproject",""
"48","someone needs to shower","the quieter you become the more you are able to hear","you wanna show the world but no one knows your name yet wonder when and where and how youre gonna make it you know you can if you get the chance","","","","",""
"49","guys pls 100200 votes everyday we are behind on all votings click on public award choose hanker write email and submit unlimited with same email #handeerel #kerembrsin","cant waittt #handeerel @handeercel","voting will end here soon lets all do 150200 votes day #handeerel atasay most advertising face of the year #hanker sen al kapm couple of the year you can vote unlimited times","","","","",""
"56","magical polished koroit wood boulder opal photo wildopals #minerals #opal","meet the virgin rainbow perhaps the finest and certainly the most expensive opal on record","pleochroism is an optical phenomenon in which a substance has different colors when observed at different angles it is observed in some minerals such as tanzanite in the picture photo tomasz praszkierspirifer_minerals #minerals","paleontologists have identified two new types of fossil flowers one identical to those of the living genus phylica and the other a sister to phylica #amber","electric blue chalcanthite a copper mineral from arizona photo lithoi minerals #minerals","dendritic crystallization forms a natural fractal pattern","here some polished amethyst sphere geodes photo ancient mountain treasures #minerals",""
"64","this is the best weve played under gio perfect reaction #rangers","god save the queen","see their candidate also lives in raunds the complete opposite end of the constituency to where oundle is essentially","good to be out on the campaign trail again this weekend with our strong local labour candidate harry james ahead of the oundle byelection #votelabour #labourdoorstep","massive boost need to get back to winning ways pronto #rangers","i definitely wouldve had balogun in from the start but aside from that its the team id have picked","gut instinct is the ecb have done the right thing here the positions of silverwood thorpe and giles were untenable so they had to go stokes needs to concentrate on getting his game back to his best so sensible to continue with root as captain reset needed and work to do","from a recent outing around oakley ward with @simonrielly to make local businesses aware of grants available to those in the hospitality and leisure sectors from north northamptonshire council"
"81","and my niece meg happy birthday","why are democrats still making the forced masking of children one of their signature issues","lincoln project accidentally releases trump 2024 campaign ad","gofundme backtracks on redistributing money for canadian truckers under threat of fraud investigation #foxbusiness","the real foreign interference in our elections is happening at your local dmv by j christian adams","theyre both right fascist censors loathe joe rogan because he doesnt spout their propaganda and threatens the regimes power and corporate media win at the end of the day because they have the power horrifying attacks on free speech we must rise up and confront","",""
"92","are you really nadine dorries #johnsonout13","youre welcome molly sorry about this fd is obviously very passionate about the cause we are close we are doing it thank you for your support and humouri thought it was funny lol #johnsonout13","if you can remove the tweet with 14 and make a new tweet with #johnsonout13 i can rt for you this gets us our 1 back again and stops others using it","75000 tweets before 520pm #johnsonout13","9 politics trending #johnsonout13 748k tweets you are a relentless protest against this failed prime minister keep going","please dont use it yet not until midn each one today is 1 tomorrow #johnsonout13","wow theres a story behind that lol #johnsonout13",""
"93","if you implement nfts i will never use your website to support creators i will contact the creators and ask for other avenues to do so","","","","","","",""
"94","new genre sewercore","loool a woman tried to physically fight me over not parking far enough away from her even tho she was leaving i spilled hot then cold coffee in my car and i just got spider man spoiled for me by the right fukin sidebar after dodging shit all month today is doooone","hello gumroad how do i request my personal information to be fully removed from your platform ive emailed messaged sent dms on multiple social accounts and received no response","got the community manager working all saturday smh @shl","oops my link is wrong if you get 404d the req key typein link is here sorry sorryyy","also a great option yeah i love itch","hey thanks for hitting me up about that ill ask the people who im in contact with and hopefully get back to you soon","im not sure i can ask them but i might not get a reply till monday"
"98","and what would happen to peoples pensions in the future i remember something to do with a fine in 2016 for 35000 nuisance phones calls","is that percentage of population or actual vaccinations given","and are we sure that all these people died of covid 19 i wonder how many peoples lives were saved by the early introduction of the vaccine in this country","and how is the investigation going into cummings second visit to county durhamanother one of your world exclusives","delayed action cost a hundred thousand liveswhere did you get that figure fromplease tell me","but still no comment about mason greenwoods alleged assault on his girl friend from you garyi wonder why","its not the quantity but the quality that countsdo you really look like that","surely not another crerar exclusiveshe apparently has a source in number 10i wonder who but still no further news on cummings alleged second visit to county durham"
"106","the mask formation cult who have been radicalized by @justintrudeau are now attempting to murder peaceful protesters by running them over with a vehicle and of coarse while wearing a mask","","","","","","",""
"108","if we make a prepaid travel booking today we will be betting on our future not losing money having fun planning and rescuing the tourism industry","dream big night is about to end","theaters at 50 weddings 25 people enforcing these quotas need to get a real job vultures dont grow economy eagles do soar in the sky 75 jabbed 80 beds free open everything totally and forever whatever the hell happens wont be any worse than 50 of what is planned","rather than making vaccine mandatory make mask voluntary for vaccinated people","","","",""
"109","i hate that people think that just because she released a song thats about sex they have the right to constantly ask her these kinds of questions","","","","","","",""
"113","here is a video clip of your conversation with howard kurtz about joe rogan great comments as usual cheers","here is @ggreenwald talking with howard kurtz about media resentment towards joe rogan and his podcast","i would add one more pathology the two ostensibly populist sides have in common a deep amp condescending distrust of what the little people out there might do with all this newfangled information flying to amp from their screens superb piece by @mattwelch","i was lucky wordle 232 36","i was lucky wordle 232 36","i hope to see you at the mean eyed cat monday 27 at 730 pm","this is why punishing speech is uniquely pernicious it affects the way people relate to each other replacing an assumption of good faith with suspicion amp mistrust and it doesnt take constant state enforcement for speech to become fettered amp stilted",""
"115","ottawa is an entire city paid by tax dollars that other people need to create forgive my lack of sympathy to the taker class who threw parades to coronate trudeau","youre a journalist","whats a little police state amongst political allies right","nothing like picking and choosing which type of political dissent the state will permit also wheres the money","yay government enforced theft and suppression of political dissidents","if only there was a very recent example this could be compared to","its almost like political dynasties dont benefit normal people","they are his problem whining that the conservatives should make it their problem is weak and pathetic"
"124","super busy with new apartment stuff how are #tejatroops doing","are you watching teju live on insta if no go now we love you tejasswi","super thankful to @ektarkapoor and super excited for @itsmetejasswi i know youll make us proud lt3 tejasswi gracing naagin","are we ready for tomorrows trend how cool itll be if teju joins us during the trend","special thanks to @tejasswiholics_ thanks for everything you know why why i mean","hi guys i had disabled my protected account which removed all my follow requests i apologise i have opened back my account now","",""
"128","police have charged 33yearold brent alexander julien with sexual assault in relation to an incident that occurred on may 19 2018","","","","","","",""
"135","join us in this talk that focuses on bringing research into the learning process where students participate in the teaching and learning process under the facultys guidance register to learn more about research based learning rbl #kfastalks #kfas","the training consists of extensive support and live virtual classrooms multimedia learning material and selfevaluation tests and renac certificate upon successful finalization to know more and register #kfas","kfas is providing an opportunity to fund a variety of online training courses on renewable energy and energy efficiency in collaboration with renewables academy renac in berlin germany","","","","",""
